Date,Open,High,Low,Close,Volume
1970-01-02,2.0677,2.0757,2.0677,2.0677,88800
1970-01-05,2.0677,2.0838,2.0677,2.0757,550556
1970-01-06,2.0757,2.0999,2.0757,2.0999,217065
1970-01-07,2.0999,2.1161,2.0919,2.1081,203255
1970-01-08,2.1081,2.1487,2.1081,2.1405,374934
1970-01-09,2.1405,2.1487,2.1241,2.1325,171677
1970-01-12,2.1325,2.1405,2.1241,2.1405,146026
1970-01-13,2.1405,2.1487,2.1325,2.1325,323623
1970-01-14,2.1325,2.1651,2.1325,2.1567,465709
1970-01-15,2.1487,2.1487,2.1081,2.1081,209172
1970-01-16,2.1081,2.1241,2.0592,2.0999,357172
1970-01-19,2.0757,2.0757,2.0428,2.0592,221015
1970-01-20,2.0592,2.0757,2.0428,2.0757,213122
1970-01-21,2.0757,2.0757,2.0517,2.0677,335469
1970-01-22,2.0677,2.0838,2.0592,2.0757,392693
1970-01-23,2.0757,2.0838,2.0592,2.0592,217065
1970-01-26,2.0592,2.0757,2.0354,2.0517,343360
1970-01-27,2.0517,2.0517,1.9864,1.9864,268374
1970-01-28,1.9864,2.0029,1.9703,1.9703,424266
1970-01-29,1.9703,1.9703,1.946,1.946,365064
1970-01-30,1.946,1.946,1.8812,1.8893,530826
1970-02-02,1.8893,1.8972,1.8812,1.8893,420319
1970-02-03,1.8893,1.954,1.8893,1.946,854453
1970-02-04,1.946,1.946,1.8893,1.9055,483466
1970-02-05,1.9055,1.9055,1.8893,1.8972,361122
1970-02-06,1.8972,1.9055,1.8893,1.8893,386772
1970-02-09,1.8893,1.9218,1.8893,1.9055,349279
1970-02-10,1.9055,1.9218,1.8972,1.9137,329546
1970-02-11,1.9137,1.9298,1.9055,1.9137,483466
1970-02-12,1.9298,1.946,1.9298,1.946,268374
1970-02-13,1.946,1.9623,1.938,1.954,183516
1970-02-16,1.9623,1.9946,1.9623,1.9946,175628
1970-02-17,2.0029,2.0428,2.0029,2.0189,195358
1970-02-18,2.027,2.0757,2.027,2.0517,842612
1970-02-19,2.0517,2.0677,2.0428,2.0517,335469
1970-02-20,2.0517,2.0677,2.0354,2.0354,720266
1970-02-24,2.0354,2.0354,2.0189,2.0189,238776
1970-02-25,2.0189,2.0677,2.0189,2.0677,369013
1970-02-26,2.0677,2.0677,2.0428,2.0592,333494
1970-02-27,2.0592,2.0677,2.0428,2.0592,187466
1970-03-02,2.0592,2.0677,2.0517,2.0517,138136
1970-03-03,2.0517,2.0517,2.0189,2.0354,157864
1970-03-04,2.0354,2.0592,2.027,2.0517,408480
1970-03-05,2.0428,2.0428,2.0108,2.0189,207198
1970-03-06,2.0189,2.0189,1.9946,2.0108,213122
1970-03-09,2.0108,2.0108,1.9864,1.9946,148000
1970-03-10,1.9946,2.0029,1.9703,2.0029,548586
1970-03-11,2.0029,2.0189,1.9946,2.0029,248642
1970-03-12,2.0029,2.0108,1.9864,1.9946,98667
1970-03-13,1.9946,2.0029,1.9703,1.9946,191414
1970-03-16,1.9703,1.9703,1.9218,1.9298,479520
1970-03-17,1.9298,1.9703,1.9298,1.946,282186
1970-03-18,1.946,1.954,1.9298,1.938,292054
1970-03-19,1.938,1.946,1.9298,1.946,155891
1970-03-20,1.946,1.946,1.9055,1.9218,309812
1970-03-23,1.9218,1.9298,1.8893,1.8972,485438
1970-03-24,1.9055,1.9218,1.9055,1.9137,252587
1970-03-25,1.9218,1.9786,1.9218,1.954,538718
1970-03-26,1.954,1.9786,1.946,1.946,313757
1970-03-30,1.946,1.9623,1.938,1.9623,244694
1970-03-31,1.9623,1.9864,1.954,1.9703,276264
1970-04-01,1.9786,2.0189,1.9786,2.0029,297971
1970-04-02,2.0029,2.0189,2.0029,2.0108,106558
1970-04-03,2.0108,2.0108,1.9946,2.0029,149975
1970-04-06,1.9946,1.9946,1.9623,1.9623,167730
1970-04-07,1.9623,1.9786,1.938,1.9623,840639
1970-04-08,1.9623,1.9623,1.946,1.946,183516
1970-04-09,1.946,1.9623,1.946,1.954,278238
1970-04-10,1.954,1.9623,1.938,1.954,211146
1970-04-13,1.954,1.954,1.9298,1.938,161814
1970-04-14,1.9298,1.9298,1.9137,1.9298,197335
1970-04-15,1.9298,1.946,1.8972,1.9055,447947
1970-04-16,1.9055,1.9218,1.8972,1.8972,400587
1970-04-17,1.8972,1.8972,1.8647,1.8647,447947
1970-04-20,1.8647,1.8732,1.8647,1.8647,329546
1970-04-21,1.8647,1.9137,1.8569,1.8569,582132
1970-04-22,1.8569,1.8569,1.8163,1.8163,593973
1970-04-23,1.8163,1.8163,1.7841,1.7917,647250
1970-04-24,1.7917,1.8163,1.7755,1.8081,536746
1970-04-27,1.8081,1.8081,1.7917,1.7917,317704
1970-04-28,1.7917,1.8163,1.7755,1.7755,402562
1970-04-29,1.7755,1.7917,1.7513,1.7917,552533
1970-04-30,1.7917,1.7917,1.7432,1.7678,842612
1970-05-01,1.7678,1.7841,1.7594,1.7755,321651
1970-05-04,1.7594,1.7594,1.711,1.711,832747
1970-05-05,1.711,1.7189,1.6866,1.6947,696583
1970-05-06,1.6947,1.7269,1.6866,1.7189,891943
1970-05-07,1.7189,1.7594,1.7189,1.7594,436106
1970-05-08,1.7594,1.7755,1.7513,1.7755,272319
1970-05-11,1.7755,1.7841,1.7513,1.7513,242719
1970-05-12,1.7513,1.7594,1.7189,1.7353,410452
1970-05-13,1.7189,1.7189,1.6783,1.6783,451893
1970-05-14,1.6704,1.6704,1.6378,1.6704,866293
1970-05-15,1.6704,1.7025,1.6619,1.6947,372958
1970-05-18,1.7025,1.711,1.6866,1.711,361122
1970-05-19,1.711,1.711,1.6704,1.6783,215094
1970-05-20,1.6783,1.6783,1.6054,1.6054,524905
1970-05-21,1.5893,1.5893,1.5567,1.5893,966933
1970-05-22,1.5893,1.6054,1.5567,1.5812,242719
1970-05-25,1.5812,1.5812,1.4757,1.4757,627518
1970-05-26,1.4757,1.508,1.4675,1.4757,832747
1970-05-27,1.4757,1.5649,1.4757,1.5649,592000
1970-05-28,1.5649,1.5893,1.5486,1.5728,824852
1970-05-29,1.5728,1.6054,1.5567,1.6054,465709
1970-06-01,1.6054,1.6459,1.6054,1.6134,501225
1970-06-02,1.6134,1.6297,1.6054,1.6297,432158
1970-06-03,1.6297,1.6541,1.6297,1.6541,217065
1970-06-04,1.6541,1.6704,1.6134,1.6297,501225
1970-06-05,1.6297,1.6297,1.6054,1.6217,428214
1970-06-08,1.6217,1.6297,1.5973,1.5973,722236
1970-06-09,1.5973,1.5973,1.5728,1.5812,167730
1970-06-10,1.5812,1.5812,1.5486,1.5567,268374
1970-06-11,1.5567,1.5649,1.5245,1.5322,205224
1970-06-12,1.5322,1.5322,1.508,1.5245,414402
1970-06-15,1.5567,1.5567,1.5162,1.5322,301918
1970-06-16,1.5322,1.5728,1.5322,1.5728,313757
1970-06-17,1.5649,1.5649,1.5486,1.5567,384801
1970-06-18,1.5567,1.5812,1.5322,1.5486,820904
1970-06-19,1.5486,1.5567,1.5162,1.5567,4461699
1970-06-22,1.5486,1.5486,1.5245,1.541,215094
1970-06-23,1.541,1.541,1.5162,1.5162,274291
1970-06-24,1.5162,1.5245,1.508,1.508,266400
1970-06-25,1.4999,1.4999,1.4433,1.4757,501225
1970-06-26,1.4757,1.4757,1.4595,1.4675,443997
1970-06-29,1.4595,1.4595,1.427,1.4433,278238
1970-06-30,1.4433,1.4595,1.427,1.427,315735
1970-07-01,1.427,1.435,1.3947,1.3947,353227
1970-07-02,1.3947,1.4107,1.3865,1.3947,414402
1970-07-06,1.3947,1.3947,1.3541,1.3623,517016
1970-07-07,1.3623,1.3702,1.346,1.3541,599891
1970-07-08,1.3623,1.4188,1.3623,1.4188,520960
1970-07-09,1.4188,1.4838,1.4188,1.427,1657599
1970-07-10,1.427,1.435,1.4188,1.4188,238776
1970-07-13,1.4188,1.4188,1.4026,1.4026,311789
1970-07-14,1.4026,1.4188,1.4026,1.4188,467677
1970-07-15,1.4188,1.435,1.4188,1.435,495308
1970-07-16,1.4515,1.4838,1.4515,1.4757,643304
1970-07-17,1.4838,1.508,1.4838,1.508,469652
1970-07-20,1.508,1.5162,1.4921,1.4999,294028
1970-07-21,1.4999,1.508,1.4921,1.508,315735
1970-07-22,1.508,1.5322,1.4999,1.5162,560423
1970-07-23,1.5162,1.541,1.508,1.541,461760
1970-07-24,1.541,1.541,1.5162,1.5322,595948
1970-07-27,1.5322,1.5322,1.5245,1.5245,167730
1970-07-28,1.5245,1.5322,1.5162,1.5245,315735
1970-07-29,1.5245,1.541,1.5245,1.5245,556478
1970-07-30,1.5245,1.5322,1.5162,1.5322,221015
1970-07-31,1.5322,1.5322,1.5245,1.5322,288105
1970-08-03,1.5322,1.541,1.5245,1.5322,897867
1970-08-04,1.5245,1.5245,1.5162,1.5245,296001
1970-08-05,1.5245,1.5322,1.5162,1.5245,219041
1970-08-06,1.5245,1.5567,1.5245,1.5567,246668
1970-08-07,1.5567,1.5973,1.5567,1.5728,1144530
1970-08-10,1.5728,1.5812,1.5649,1.5649,157864
1970-08-11,1.5649,1.5728,1.541,1.5649,292054
1970-08-12,1.5649,1.5649,1.541,1.541,134189
1970-08-13,1.541,1.541,1.508,1.5162,347307
1970-08-14,1.5162,1.5162,1.4838,1.4838,394665
1970-08-17,1.4921,1.4921,1.4838,1.4921,252587
1970-08-18,1.4999,1.5245,1.4999,1.508,327575
1970-08-19,1.508,1.5322,1.508,1.5245,394665
1970-08-20,1.5245,1.5567,1.5245,1.5567,262455
1970-08-21,1.5567,1.6134,1.541,1.6134,294028
1970-08-24,1.6134,1.6704,1.6054,1.6459,2642291
1970-08-25,1.6459,1.6619,1.6297,1.6541,513067
1970-08-26,1.6541,1.6704,1.6541,1.6541,349279
1970-08-27,1.6541,1.6783,1.6541,1.6704,197335
1970-08-28,1.6704,1.711,1.6704,1.6866,625545
1970-08-31,1.6866,1.6947,1.6541,1.6704,191414
1970-09-01,1.6704,1.6704,1.6217,1.6217,1953598
1970-09-02,1.6217,1.6217,1.6054,1.6217,213122
1970-09-03,1.6217,1.6541,1.6054,1.6217,1203733
1970-09-04,1.6217,1.6297,1.6134,1.6134,449919
1970-09-08,1.6134,1.6217,1.6054,1.6054,258504
1970-09-09,1.6054,1.6378,1.6054,1.6378,552533
1970-09-10,1.6378,1.6378,1.6054,1.6297,562398
1970-09-11,1.6297,1.6459,1.6217,1.6217,151943
1970-09-14,1.6217,1.6378,1.6134,1.6297,408480
1970-09-15,1.6297,1.6378,1.6134,1.6378,130238
1970-09-16,1.6378,1.6459,1.6217,1.6378,453864
1970-09-17,1.6378,1.6459,1.6297,1.6378,313757
1970-09-18,1.6378,1.6459,1.6297,1.6459,355198
1970-09-21,1.6459,1.6704,1.6378,1.6378,219041
1970-09-22,1.6378,1.6378,1.6297,1.6378,378878
1970-09-23,1.6378,1.6704,1.6378,1.6619,410452
1970-09-24,1.6704,1.7353,1.6704,1.7189,374934
1970-09-25,1.7189,1.7189,1.6783,1.6783,876162
1970-09-28,1.6783,1.6947,1.6704,1.6783,183516
1970-09-29,1.6783,1.6783,1.6619,1.6704,390719
1970-09-30,1.6704,1.6866,1.6619,1.6866,408480
1970-10-01,1.6866,1.6947,1.6541,1.6541,2012797
1970-10-02,1.6541,1.6704,1.6541,1.6619,558454
1970-10-05,1.6619,1.6947,1.6619,1.6947,532801
1970-10-06,1.6947,1.711,1.6947,1.711,968907
1970-10-07,1.711,1.7189,1.7025,1.711,443997
1970-10-08,1.711,1.7189,1.6947,1.7025,438077
1970-10-09,1.7025,1.7025,1.6783,1.6783,465709
1970-10-12,1.6783,1.6866,1.6619,1.6704,98667
1970-10-13,1.6704,1.6704,1.6541,1.6704,177596
1970-10-14,1.6704,1.7025,1.6704,1.6947,187466
1970-10-15,1.6947,1.7189,1.6866,1.711,570297
1970-10-16,1.711,1.711,1.6947,1.7025,130238
1970-10-19,1.7025,1.7025,1.6866,1.7025,215094
1970-10-20,1.6947,1.6947,1.6783,1.6866,459785
1970-10-21,1.6866,1.7025,1.6783,1.6947,732106
1970-10-22,1.6947,1.7025,1.6866,1.7025,219041
1970-10-23,1.7025,1.711,1.6866,1.7025,722236
1970-10-26,1.7025,1.711,1.6947,1.7025,130238
1970-10-27,1.7025,1.7025,1.6783,1.6866,270345
1970-10-28,1.6866,1.6866,1.6541,1.6783,1947675
1970-10-29,1.6783,1.6947,1.6783,1.6783,361122
1970-10-30,1.6866,1.6947,1.6866,1.6866,230880
1970-11-02,1.6866,1.6947,1.6783,1.6947,286130
1970-11-03,1.6947,1.6947,1.6783,1.6866,128270
1970-11-04,1.6866,1.7025,1.6866,1.6947,388746
1970-11-05,1.6947,1.711,1.6947,1.7025,240749
1970-11-06,1.7025,1.7025,1.6866,1.7025,325598
1970-11-09,1.7025,1.7269,1.7025,1.7269,432158
1970-11-10,1.7269,1.7269,1.6459,1.6619,11019074
1970-11-11,1.6619,1.6866,1.6541,1.6541,459785
1970-11-12,1.6541,1.6619,1.6378,1.6378,2581120
1970-11-13,1.6378,1.6541,1.6297,1.6459,647250
